home,nbhd,offers,sqft,brick,bedrooms,bathrooms,price,ptype
1,R,2,1790,No,2,2,114300,Semi
2,R,2,1870,Yes,2,2,123000,Semi
3,R,1,1700,Yes,2,2,111400,Bung
4,N,3,1600,No,2,2,69100,Bung
5,N,2,1930,Yes,2,2,112300,Apt
6,N,3,2000,No,2,2,117800,Semi
7,N,2,1880,No,2,2,117500,Apt
8,R,1,1560,No,2,2,106600,Apt
9,R,3,1990,No,2,2,105600,Bung
10,N,2,1990,No,2,3,129800,Apt
11,R,2,1980,No,2,2,115900,Semi
12,N,3,1860,No,2,2,91100,Bung
13,N,4,2150,No,2,3,117400,Semi
14,R,2,1720,Yes,2,2,125700,Apt
15,N,2,1610,No,2,2,100900,Apt
16,R,2,1910,No,2,3,120500,Semi
17,N,1,1450,Yes,2,2,111100,Semi
18,N,2,1900,No,2,2,106900,Semi
19,S,1,2050,Yes,2,2,164800,Bung
20,N,3,1520,No,2,2,90500,Semi
21,N,4,2010,No,2,2,97800,Semi
22,S,1,1970,Yes,2,2,152500,Semi
23,R,1,2000,Yes,2,2,126800,Apt
24,N,1,1710,No,2,2,111600,Semi
25,N,2,1740,No,2,2,114900,Bung
26,R,2,1940,Yes,2,2,123600,Apt
27,N,4,1920,No,2,2,109700,Apt
28,N,3,1930,No,2,3,110400,Apt
29,R,1,2060,Yes,2,2,144800,Semi
30,N,2,2070,No,2,2,113500,Apt
31,R,1,1740,No,3,2,114800,Semi
32,R,3,1980,No,3,2,94700,Semi
33,R,3,2130,No,3,3,119800,Semi
34,N,2,1780,No,3,2,114600,Bung
35,S,3,1830,Yes,3,3,151600,Semi
36,R,3,1730,No,3,3,104000,Apt
37,R,3,2030,Yes,3,2,132500,Det
38,N,4,1910,No,3,2,102600,Semi
39,N,5,2150,Yes,3,3,126300,Semi
40,R,4,2190,Yes,3,3,147100,Det
41,N,4,1990,No,3,3,83600,Bung
42,S,2,1920,Yes,3,3,167200,Bung
43,R,3,1790,No,3,2,116200,Semi
44,N,4,2000,No,3,2,113800,Semi
45,N,3,1690,No,3,2,91700,Semi
46,N,3,1820,Yes,3,2,106100,Semi
47,R,2,1700,No,3,2,99300,Apt
48,R,3,2250,Yes,3,3,135000,Semi
49,N,3,2080,No,3,3,117100,Bung
50,S,1,1720,No,3,2,131300,Bung
51,N,2,1740,No,3,2,108200,Apt
52,R,1,1920,Yes,3,2,154000,Det
53,S,2,1940,Yes,3,3,166500,Semi
54,R,3,1810,No,3,2,103200,Apt
55,N,6,2050,No,3,2,90300,Bung
56,N,3,1700,Yes,3,2,107500,Bung
57,R,3,2100,Yes,3,2,151100,Bung
58,N,3,2100,No,3,2,130800,Semi
59,N,3,1650,No,3,2,81300,Bung
60,R,3,2190,Yes,3,2,140900,Apt
61,S,1,1840,No,3,3,138100,Semi
62,S,1,2200,No,3,3,180900,Semi
63,S,2,1860,No,3,2,130300,Semi
64,N,4,2210,No,3,3,126200,Semi
65,N,4,2140,No,3,2,93600,Semi
66,S,3,1950,Yes,3,3,166700,Det
67,N,3,1650,No,3,2,107300,Apt
68,R,2,2040,No,3,3,125700,Bung
69,S,3,2140,No,3,3,144200,Bung
70,S,2,1930,No,3,2,129800,Bung
71,N,3,2130,No,3,2,121300,Det
72,R,4,2190,Yes,3,3,143400,Bung
73,R,2,2410,No,3,3,147700,Bung
74,S,1,1880,Yes,3,3,172500,Bung
75,N,2,1930,No,3,3,127700,Semi
76,R,2,2150,No,3,2,116500,Semi
77,S,2,2110,No,3,2,142600,Semi
78,R,2,2080,No,3,3,157100,Bung
79,R,3,2440,No,3,3,133300,Apt
80,S,1,2060,No,3,2,145500,Apt
81,S,2,2080,Yes,3,3,171000,Det
82,N,5,2010,No,3,2,103200,Bung
83,R,5,2260,No,3,3,123100,Bung
84,R,4,2410,No,3,3,136800,Semi
85,R,4,1910,No,3,2,82300,Semi
86,N,4,2130,No,3,2,108500,Apt
87,R,1,1890,Yes,3,2,134000,Semi
88,R,3,1990,Yes,3,3,117000,Semi
89,R,3,2110,No,3,2,108700,Bung
90,N,3,2000,Yes,3,2,115700,Semi
91,N,3,1900,No,3,3,102500,Bung
92,N,2,1920,No,3,2,117800,Semi
93,N,3,1950,Yes,3,2,150200,Bung
94,R,3,1930,No,3,3,105600,Semi
95,R,3,1900,Yes,3,3,119700,Semi
96,S,1,2020,No,3,3,149900,Semi
97,N,4,2250,No,3,3,124600,Bung
98,R,3,2030,No,4,2,114200,Det
99,S,2,2160,No,4,2,150700,Det
100,R,3,2110,No,4,2,119200,Semi
101,S,4,2590,No,4,3,176800,Det
102,S,1,1780,No,4,2,145800,Det
103,R,2,2210,Yes,4,3,156400,Bung
104,N,3,2290,No,4,3,149300,Semi
105,S,3,2000,No,4,2,137000,Semi
106,S,1,2040,Yes,4,3,188000,Det
107,S,3,2250,Yes,4,3,182000,Det
108,S,4,2420,No,4,3,147000,Semi
109,S,2,1840,No,4,3,133600,Semi
110,S,3,2240,No,4,3,152300,Det
111,S,1,2090,No,4,2,155400,Det
112,S,2,2220,No,4,3,161300,Det
113,R,3,2040,No,4,3,151900,Semi
114,S,3,2080,No,4,3,165600,Det
115,S,1,2160,No,4,2,157600,Semi
116,S,3,2280,Yes,4,3,176500,Det
117,S,1,1780,No,4,2,143600,Semi
118,S,2,2140,Yes,4,3,184300,Det
119,S,2,2250,Yes,4,3,188300,Det
120,N,4,1900,No,4,2,102700,Semi
121,S,2,1920,No,4,2,143100,Semi
122,S,3,2150,Yes,4,3,160600,Det
123,S,3,2440,Yes,4,3,211200,Semi
124,S,4,2530,No,4,3,146900,Semi
125,R,2,2010,No,4,3,124500,Det
126,R,3,2160,Yes,4,3,147900,Det
127,R,4,2280,Yes,5,3,139600,Det
128,S,1,2290,Yes,5,4,199500,Det
